<pre>

    <strong>p</strong>               <strong>Name</strong>               <strong>Min</strong>              <strong>Value</strong>             <strong>Max</strong>     <strong>Fit?</strong> 
    <strong>__</strong>    <strong>________________________</strong>    <strong>______</strong>    <strong>_____________________</strong>    <strong>_____</strong>    <strong>_____</strong>

     1    "Substrate Roughness"            1         2.95173387253282        5    true 
     2    "Tails Thickness"               10         20.0516480999742       30    true 
     3    "Heads Thickness"                3          6.8660916771992       16    true 
     4    "Tails Roughness"                2          3.3249364871383        9    true 
     5    "Heads Roughness"                2         5.42833073432123        9    true 
     6    "Deuterated Tails SLD"       4e-06     7.95670100033799e-06    2e-05    true 
     7    "Hydrogenated Tails SLD"    -6e-07    -1.87892760958886e-07        0    true 
     8    "Deuterated Heads SLD"       1e-06     6.03995339972192e-06    8e-06    true 
     9    "Hydrogenated Heads SLD"     1e-07     1.38006013970228e-06    3e-06    true 
    10    "Heads Hydration"                0        0.342208205811867      0.5    true 

</pre>
